URL,Status
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/25/why-you-still-cant-stop-watching-keeping-up-with-the-kardashians-10-years-later/,200
https://www.washingtonpost.com/pb/gr/c/default/rzAjyH1XZsUK0q/css/2b7d31adca.css?_=e9b58,200
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/21/big-brother-finale-how-did-this-contestant-implode-after-playing-a-near-perfect-game/,200
https://www.washingtonpost.com/pb/gr/p/default/rzAjyH1XZsUK0q/style.css?_=1027b,200
https://www.washingtonpost.com/entertainment/books/david-bowie-plagiarist-visionary-or-saint/2017/09/29/7546795a-a492-11e7-b14f-f41773cd5a14_story.html?tid=pm_entertainment_pop,200
https://www.washingtonpost.com/entertainment/tv/vatican-newspaper-chimes-in--finally--on-the-young-pope/2017/09/30/5e9272be-a608-11e7-b573-8ec86cdfe1ed_story.html?tid=pm_entertainment_pop,200
https://www.washingtonpost.com/entertainment/celebrities/legendary-singer-connie-francis-auctions-lifes-treasures/2017/09/29/b5ac6734-a53c-11e7-b573-8ec86cdfe1ed_story.html?tid=pm_entertainment_pop,200
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/27/the-voice-premieres-obsession-with-country-singers-actually-makes-a-lot-of-sense/,200
https://www.washingtonpost.com/entertainment/tv/law-and-order-applies-its-style-to-true-crime-but-menendez-murders-lacks-allure/2017/09/25/3fe355f0-a15c-11e7-b14f-f41773cd5a14_story.html,200
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/28/the-9-most-cringe-worthy-moments-in-curb-your-enthusiasm-history/,200
https://www.washingtonpost.com/people/hank-stuever/,200
https://www.washingtonpost.com/entertainment/tv/tv-highlights-star-trek-discovery-premieres-on-cbs/2017/09/22/044faad2-9f1a-11e7-9c8d-cf053ff30921_story.html,200
https://www.washingtonpost.com/people/hank-stuever,301
https://www.washingtonpost.com/entertainment/tv/tv-highlights-young-sheldon-premieres-on-cbs/2017/09/24/2acfbdcc-9fa7-11e7-9083-fbfddf6804c2_story.html,200
https://www.washingtonpost.com/entertainment/tv/tv-highlights-will-and-grace-returns-to-nbc/2017/09/27/622158bc-a38f-11e7-b14f-f41773cd5a14_story.html,200
https://www.washingtonpost.com/entertainment/tv/tv-highlights-liar-premieres-on-sundance-tv/2017/09/26/0e760580-a2ce-11e7-8cfe-d5b912fabc99_story.html,200
https://www.washingtonpost.com/entertainment/tv/will-and-grace-are-back-mostly-to-snark-about-life-in-trumps-america/2017/09/27/c0ff9886-a244-11e7-ade1-76d061d56efa_story.html,200
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/26/late-night-hosts-mock-trumps-nfl-feud-how-can-one-person-be-on-the-wrong-side-of-everything/,200
