URL,Size,OutLinks,ContentType
https://www.washingtonpost.com/,286196,219,text/html
https://www.washingtonpost.com/news/powerpost/wp/2017/09/27/white-house-restricting-lawmakers-from-visiting-puerto-rico-u-s-virgin-islands-aides-say/?utm_term=.8d713057ec7a,160341,30,text/html
https://www.washingtonpost.com/business/economy/getting-relief-supplies-to-puerto-rico-ports-is-only-half-the-problem/2017/09/28/9ff558a6-a460-11e7-8cfe-d5b912fabc99_story.html?utm_term=.405c1bf1cabe,193018,30,text/html
https://www.washingtonpost.com/news/post-politics/wp/2017/09/30/on-twitter-trump-attacks-mayor-of-san-juan-for-poor-leadership-amid-deepening-crisis/?utm_term=.b149caa231c3,160717,39,text/html
https://www.washingtonpost.com/news/powerpost/,143103,101,text/html
https://www.washingtonpost.com/politics/lost-weekend-how-trumps-time-at-his-golf-club-hurt-the-response-to-maria/2017/09/29/ce92ed0a-a522-11e7-8c37-e1d99ad6aa22_story.html?utm_term=.3f9716b0ba85,203520,40,text/html
https://www.washingtonpost.com/politics/lost-weekend-how-trumps-time-at-his-golf-club-hurt-the-response-to-maria/2017/09/29/ce92ed0a-a522-11e7-8c37-e1d99ad6aa22_story.html?utm_term=.2cd0003800a3,203520,40,text/html
https://www.washingtonpost.com/amphtml/news/powerpost/wp/2017/09/30/its-a-disgraceful-job-puerto-rican-congressman-slams-trump-over-hurricane-response/,47598,49,text/html
https://www.washingtonpost.com/news/post-politics/wp/2017/09/25/trump-declares-puerto-is-in-deep-trouble-as-questions-mount-about-his-commitment/?tid=a_inl&utm_term=.15768765db2c,161757,34,text/html
https://www.washingtonpost.com/news/powerpost/wp/2017/09/19/democratic-lawmakers-arrested-outside-trump-tower/?utm_term=.5bdcae561aac,158787,30,text/html
https://www.washingtonpost.com/news/post-nation/wp/2017/09/29/san-juan-mayor-slams-trump-administration-comments-on-puerto-rico-hurricane-response/?utm_term=.18de3cf52ef6,148607,72,text/html
https://www.washingtonpost.com/news/post-nation/wp/2017/09/30/trump-called-san-juans-mayor-a-weak-leader-heres-what-her-leadership-looks-like/?utm_term=.1053c84fade3,218730,80,text/html
https://www.washingtonpost.com/news/dr-gridlock/wp/2017/08/29/police-say-a-woman-threw-a-cup-full-of-urine-on-a-metrobus-driver/?utm_term=.4351e7858102,156244,34,text/html
https://www.washingtonpost.com/amphtml/local/trafficandcommuting/should-metro-have-the-ability-to-permanently-ban-riders-from-the-system/2017/09/30/f61d252a-9d52-11e7-9083-fbfddf6804c2_story.html,51818,42,text/html
https://www.washingtonpost.com/news/dr-gridlock/wp/2017/09/08/after-more-than-20-indecent-exposure-arrests-metro-still-cant-ban-this-man-from-the-trains/?utm_term=.a28dd41ae144,154368,28,text/html
https://www.washingtonpost.com/news/checkpoint/wp/2017/09/29/meet-the-air-force-general-who-delivered-a-powerful-lesson-in-leadership/?tid=pm_pop,159276,49,text/html
https://www.washingtonpost.com/local/public-safety/georgetown-bank-teller-stole-185000-from-homeless-customer-with-garbage-bag-of-cash/2017/09/28/bb89a59c-a48b-11e7-8cfe-d5b912fabc99_story.html?tid=pm_pop,153857,28,text/html
https://www.washingtonpost.com/news/fact-checker/wp/2017/09/30/did-president-trump-add-33-million-to-puerto-ricos-debt-by-bankrupting-a-golf-course-there/?tid=pm_pop,176659,44,text/html
https://www.washingtonpost.com/amphtml/news/post-nation/wp/2017/09/30/news-quiz-the-big-mystery-in-havana-a-college-sports-scandal-and-more/,38791,37,text/html
https://www.washingtonpost.com/business/economy/it-was-candidate-trumps-best-trick-now-its-stalling-president-trumps-agenda/2017/09/28/fc70fe6e-a3a2-11e7-8cfe-d5b912fabc99_story.html?tid=a_inl&utm_term=.75bffba7debb,160944,27,text/html
https://www.washingtonpost.com/news/wonk/wp/2017/09/27/the-gop-tax-plan-explained-in-simplest-possible-terms/?tid=a_inl&utm_term=.57e0e659aac4,157166,29,text/html
https://www.washingtonpost.com/people/carolyn-johnson/,73043,59,text/html
